Ward,Name,Post_code,Address,Opening time
,Shrewsbury House Community Centre,SE18 3EG,Shrewsbury House Community Centre Bushmoor Crescent Shooters Hill SE18 3EG,"Monday to Friday 9am to 10pm, Saturday 9am to 4pm. Closed Sundays and bank holidays."
,Slade Centre Library,SE18 2QQ,Erindale Plumstead SE18 2QQ,"Monday: 2pm to 7pm Tuesday: 9am to 5:30pm, Wednesday: Closed, Thursday: 2pm to 7pm, Friday: 9am to 1pm, then 2pm to 5:30pm, Saturday: 9am to 1pm, then 2pm to 5pm, Sunday: Closed"
,Slade Children's Centre,SE18 2QQ,Slade Children's Centre Erindale Plumstead SE18 2QQ,Wednesday 1pm to 2.30pm in training room (overseen by Reception staff and one other member of the team)
,St Alfege Church,SE10 9JT,St Alfege Church Hall Frank Smith Room Roan Street SE10 9JT,Wednesday 10am to 12 noon
,St Edward's Church Mottingham,SE9 4AQ,St Edwards Church 35 St Keverne Road SE9 4AQ,
,St George's Church,SE3 7SD,St George's Church 43 Glenluce Road SE3 7SD,Tuesday 10am to 12 noon
,St John's Church,SE18 7NH,St John’s Church Earl Rise,
,St Luke's Church,SE7 8UG,St Luke's Church The Village Charlton SE7 8UG,Thursday 10am to 12 noon (Coffee Morning)
,St Margaret's Church,SE13 5DN,St Margaret's Church Lee Terrace SE13 5DN,Tea for Free Monday 10am to 12noon and the Darby & Joan Club Tuesday 11.45am to 2pm
,Storkway Children's Centre,SE3 9QX,Storkway Children's Centre Ridgebrook Road Kidbrooke SE3 9QX,
,Street Souls - Emmaus Greenwich,SE18 4DW,"Woolwich Common Community Centre, Leslie Smith Square SE18 4DW",
,Thamesmere Library,SE28 8DT,Thamesmere Leisure Centre Thamesmere Drive Thamesmead SE28 8DT,
,The Greenwich Centre Library,SE10 9GB,Greenwich Centre 12 LambaRoade Square SE10 9GB,
,Tramshed Arts,SE18 6ET,"The Tramshed, 41 Woolwich New Road SE18 6ET",
,Trinity Methodist Church and Community Centre,SE18 7JW,Trinity Methodist Church 265 Burrage Road Plumstead SE18 7JW,
,Vista Field Children's Centre,SE9 5SD,Vista Field Children's CentreThe Vista Eltham SE9 5SD,
,Waterways Children's Centre,SE28 8EZ,Waterways Children's Centre Southwood Road Thamesmead SE28 8EZ,
,West Greenwich Library,SE10 8NN,Greenwich High Street Greenwich SE10 8NN,
,West Thamesmead Community Association,SE28 0ER,Broadwater Village Hall Gosander Way West Thamesmead SE28 0ER,
,Woolwich Centre Library,SE18 6HQ,Woolwich Centre 35 Wellington Street Woolwich SE18 6HQ,
,Woolwich Common Community Centre,SE18 4DW,Woolwich Common Community Centre 17 Leslie Smith Square SE18 4DW,
,Woolwich Front Roo,SE18 6JB,Woolwich Front Room 105 Powis Street Woolwich SE18 6JB,
,Woolwich Service User Project,SE18 6BJ,107 Brookhill Road Woolwich London SE18 6BJ,
Hackney,Skyway,N1 7NZ,"Blue Hut Youth and Community Hub, 49 Provost Street, N1 7NZ","Tuesday to Thursday, 10.30 am to 2 pm"
,Laburnum Boat Club,E2 8BH,"Laburnum Boat Club, Laburnum Street, London E2 8BH","Mondays, Tuesdays, Wednesdays, 2pm to 7pm, Thursdays, term time"
,Hackney Quest,E9 7PQ,"Frampton Park Baptist church, Frampton Park Road, E9 7PQ","Mondays, 1:30pm to 4pm"
,H.O.P.E.,E9 6RH,"Morningside Community Centre, Cresset Road, Hackney E9 6RH","Tuesdays, 2.30pm to 4.30 pm, Fridays, 10.30pm to 4.00 pm"
,Chats Palace,E9 6DF,"Chats Palace, 42-44 Brooksby’s Walk, London E9 6DF","Tuesdays, 10am to 2pm, Fridays, 12noon to 5pm"
,The Pedro Club,E5 0HD,"The Pedro Club, 175 Rushmore Road, Lower Clapton, London E5 0HD","Mondays, 10.30am to 3.30pm"
,Shepherdfold Ministry – Clapton Park Methodist Church,E5 0LH,"Clapton Park Methodist Church, 99 Chatsworth Road, Hackney, London, E5 0LH",Tuesdays and Wednesdays  11am to 5pm
,Round Chapel,E5 0PU,"2 Powerscroft Road, E5 0PU","Mondays, 10am to 2pm
Thursdays, 9.30am to 3pm"
,Hackney Showroom HQ,N4 2BN,"Hackney Showroom, 4 Murrain Road, Kings Crescent Estate, London N4 2BN","Tuesdays, 3pm to 6pm, Wednesdays, 9am to 1pm, Fridays, 11am to 2pm"
,Clapton Commons – 1 Clapton Terrac,E5 9BW,"1 Clapton Terrace, Clapton, London E5 9BW","Wednesdays, 8:30am to 3pm"
,Volunteer Centre – Stamford Hill Community Centre,N16 6RS,"Stamford Hill Community Centre, Stamford Hill, London N16 6RS","Fridays, 9.30am to 5.30pm"
,Gascoyne 2 Community Hall,E9 5AY,"Gascoyne 2 Community Hall, 2a Wick Road, E9 5AY","Wednesdays, 12pm to 6pm"
Hammersmith and Fulham,Our Lady of Fatima Parish Centre,W12 7QR,"Commonwealth Avenue, London W12 7QR","Tuesdays, 2.30pm to 6pm"
,Old Oak Community Centre,W12 0AP,"Braybrook Street, London W12 0AP","Wednesdays, 2pm to 6pm."
Haringey,Hornsey Central Café,N8 8JD,"Hornsey Central Neighbourhood Health Centre, 151 Park Road, N8 8JD",
,The Goods Office Restaurant ,N4 4DS,"1-3 Ferme Park Road, Stroud Green, N4 4DS",
,St Ann's Church Tottenham,N15 5JH,"St Ann's Church Hall, 2 Avenue Road, N15 5JH",
,Jacksons Lane ,N6 5AA,"269a Archway Road, Highgate, N6 5AA",
, Winkfield Resource Centre Cafe ,N22 5RP,"Winkfield Resource Centre, 33 Winkfield Road, Wood Green, N22 5RP",
,Cypriot Community Centre,N22 5HJ,"Cypriot Community Centre, Earlham Grove N22 5HJ",
,Electric Grubb Cafe and Restaurant,N15 4AJ,"286 High Road, Seven Sisters N15 4AJ",
,Mind in Haringey,N4 3QF,"73C Stapleton Hall Road, Stroud Green, N4 3QF",
,St James Church,N10 3DB,"St James Church, St James Lane, Muswell Hill N10 3DB",
,The Antwerp Arms ,N17 8AS,"168-170 Church Road, Tottenham, N17 8AS",
,Northumberland Park Resource Centre,N17 0HJ,"177 Park Lane Northumberland Park, Tottenham, N17 0HJ",
,Hornsey Moravian Church,N8 7HR,"Priory Road, Hornsey, N8 7HR",
,Ministry of Praise,N17 0JJ,"46 Manor Road, Tottenham, N17 0JJ",
,Women with a Voice,N17 0QA,"Eric Allin Centre, 240 Northumberland Park, Tottenham, N17 0QA",
,Chestnuts Community Centre,N15 5BN,"280 St Ann’s Road, Tottenham, N15 5BN",
,Broadwater Children's Centre,N17 6HE,"Adams Road, Tottenham, N17 6HE",
,Sky City Community Centre,N22 6SR,"65 Penwortham Court, Wood Green, N22 6SR",
,The Engine Room,N17 9FU,"Unit A, Eagle Heights, Hale Village, Tottenham Hale, N17 9FU",
,St Paul the Apostle Catholic Church,N22 7SZ,"22 Bradley Road, Wood Green, N22 7SZ",
, Lordship Hub Cafe,N17 6NU,"Lordship Recreation Ground Higham Road, Tottenham, N17 6NU",
,Commerce Road Community Centre,N22 8EP,"52 Commerce Road, Wood Green, N22 8EP",
,Muswell Hill Methodist Church,N10 1PP,"Pages Lane, Muswell Hill, N10 1PP",
,Hornsey Library,N8 9JA,"Ground Floor Foyer, Haringey Park, N8 9JA",
, St Mary's Church Tottenham,N17 9XE,"Lansdowne Road, N17 9XE",
,Connecting Well with Wheely Tots,N17 6HF,"Broadwater Farm Community Centre, Adams Road, Tottenham, N17 6HF",
Harrow,Flash Musicals,HA8 6EZ,"Flash Musicals Methuen Road, Edgware HA8 6EZ",
,Harrow Association of Somali Voluntary Organisations (HASVO),HA2 0DH,"66 Lower Road, HA2 0DH",
,Harrow Carers,HA14QF,"Old Lyonians Sports Ground, Pinner View, Harrow, HA14QF",
,Hotspot Community CIC / Homegroup Housing Association ,HA2 0TY,The Beacon Centre HA2 0TY,
,North Harrow Community Library,HA1 4HN,"Pinner Road,  North Harrow HA1 4HN",
,My Yard at Grange Farm,HA2 0QF,"Grange Farm Community Hall, Osmond Close, South Harrow HA2 0QF",
,Oshwal Association,NW9 9AA,"Ekta Centre,  366A Stag Lane, Kingsbury, London NW9 9AA ",
,Romanian Culture and Charity Together,HA8 0LN,International Gospel Church 102a Watling Avenue Burnt Oak Middlesex HA8 0LN,
,South Harrow Methodist Church,HA2 8QU,"Walton Avenue Harrow, HA2 8QU",
,"St Paul's Church, South Harrow",HA2 8EL,"St Paul’s South Harrow, Corbins Lane, HA2 8E",
,St Michael and All Angels' Harrow Weald,HA3 7HP,"95 Bishop Ken Road, Harrow Weald, HA3 7HP ",
,The Disability Foundation,HA7 4LP,"The Disability Foundation, Based at RNOH, Brockley Hill, Stanmore, HA7 4LP.",
,Vedicca london,HA2 6EQ,"North Harrow Methodist Church, Pinner Road, HA2 6EQ",
,Wealdstone Methodist Church,HA3 7ND,"Locket Road, Wealdstone, HA3 7ND",
Havering,Ardleigh House Community Association,RM11 2LG,42 Ardleigh Green Road Hornchurch RM11 2LG,
,Elm Park Community Association,RM12 4RA,Elm Park Assembly Hall Annexe Eyhurst Avenue Elm Park RM12 4RA,
,Emerson Park Community Association,RM11 2BU,Emerson Park Social Hall  Slewins Lane Hornchurch RM11 2BU,
,H.A.D. (Havering Association for People with Disabilities),RM11 3NN,"1a Woodhall Crescent Hornchurch, RM11 3NN",
,Front Lane Community Association ,RM14 1XN,Cranham Social Hall 103 Front Lane Cranham RM14 1XN,
,Harold Hill and District Community Association,RM3 9LB,Gooshays Drive Harold Hill RM3 9LB,
,Myplace,RM3 9EN,343 Dagnam Park Drive Harold Hill RM3 9EN,
,Harold Wood Community Hub,RM3 0QA,"The Hub, 11 Gubbins Ln, Romford RM3 0QA",
,Harold Wood Neighbourhood Centre ,RM3 OQA,The Old School Gubbins Lane Harold Wood RM3 OQA,
,Havering Asian Social and Welfare Association,RM12 6NB,Greenfields Kilmartin Way  Elm Park RM12 6NB,
,Havering Museum,RM1 1JU,19–21 High Street Romford RM1 1JU,
,The Hope Cafe ,RM1 3ER,"80-84 Market Pl, Romford RM1 3ER",
,Mardyke Community Association,RM13 8PJ,Mardyke Social Centre South Street Rainham RM13 8PJ,
,Moor Lane Church,RM14 1HN,226 Moor Lane Cranham RM14 1HN,
,Myplace,RM3 9EN,343 Dagnam Park Drive Harold Hill RM3 9EN,
,RAFA Club,RM2 5AA,18 Carlton Road Romford RM2 5AA,
,Romford Baptist Church and Hall,RM1 3BL,Main Road Romford RM1 3BL,
,Romford Care Centre,RM3 8HW,107 Neave Crescent Harold Hill  RM3 8HW,
,Rush Green Community Association,RM7 0LB,Rush Green Gardens Rush Green Road Romford RM7 OLB,
,Saint George's Church and Centre,RM3 8HX,Chippenham Road RM3 8HX,
,Salvation Army Centre (Harold Hill) ,RM3 9PP,Petersfield Avenue Harold Hill RM3 9PP,
,St. John and St. Matthews Church Hall,RM13 7XT,South End Road Rainham RM13 7XT,
,St. Luke’s Church,RM14 1LD,201 Front Lane Upminster RM14 1LD,
,The ROYALS Centre,RM13 9YG,Viking Way Rainham RM3 9YG,
,YMCA Romford,RM7 0PH,29 Rush Green Road Romford RM7 0PH,
Hillingdon,Botwell Green Library,UB3 2HW,East Avenue Hayes UB3 2HW,
,Charville Library,UB4 8LF,Bury Avenue Hayes UB4 8LF,
,Christ Church,UB8 1SZ,"Redford Way, Uxbridge. UB8 1SZ",
,Coldharbour Lane Church,UB3 3HG,136 Coldharbour Lane Hayes UB3 3HG,
,Eastcote Library,HA5 1RL,Field End Road Eastcote HA5 1RL,
,Fairfield Church,HA6 1PD,Windsor Close Northwood Hills HA6 1PD,
,Harefield Library,UB9 6BJ,Park Lane Harefield UB9 6BJ,
,Harlington Library,UB3 1PB,Pinkwell Lane Hayes UB3 1PB,
,Hayes End Library,UB4 8JQ,Uxbridge Road Hayes End UB4 8JQ,
,Hayes Town Chapel,UB3 2JP,Hayes Town Chapel St. Mary’s Road Hayes UB3 2JP,
,Hillingdon Park Baptist Church,UB10 9LS,25 Hercies Road Hillingdon UB10 9LS,
,Ickenham Library,UB10 8RE,Community Close / Long Lane Ickenham UB10 8RE,
,Manor Farm Library,HA4 7SU,Manor Farm Site Bury Street Ruislip HA4 7SU,
,Northwood Hills Library (Potter Street),HA6 1QQ,Potter Street Northwood HA6 1QQ,
,Northwood Library (Oaklands Gate),HA6 3AA,Oaklands Gate Northwood HA6 3AA,
,Northwood Methodist Church,HA6 3AA,Oaklands Gate Northwood HA6 3AA,
,Oak Farm Library,UB10 9PB,Sutton Court Road Hillingdon UB10 9PB,
,Ruislip Manor Library,HA4 8TW,Linden Avenue Ruislip Manor HA4 8TW,
,South Ruislip Christian Fellowship,HA4 6SR,2 Deane Ave Ruislip HA4 6SR,
,South Ruislip Library,HA4 0JE,Victoria Road South Ruislip HA4 0JE,
,St Margaret's Church,UB8 1UT,Windsor Street Uxbridge UB8 1UT,
,Uxbridge Library,UB8 1HD,High Street Uxbridge UB8 1HD,
,Waterloo Road Church,UB8 2QX,"Waterloo Rd, Uxbridge UB8 2QX",
,West Drayton Library,UB7 7JS,"Station Rd, West Drayton UB7 7JS",
,Yeading Library,UB4 0EW,"Yeading Ln, Hayes UB4 0EW",
,Yiewsley Library,UB7 7BE,"High St, Yiewsley UB7 7BE",
,Yiewsley Methodist Church Hall,UB7 8ES,"Fairfield Rd, Yiewsley UB7 8ES",
Westminster,Central London Youth Development Trust,NW8 8SR,"Greenside Community Centre, Lilestone Street, London, NW8 8SR",Open every Friday from 11:30am to 2:30pm.
,Middle Eastern Women and Society Organisation,NW8 8HJ,"Derry House, Church St Estate, London, NW8 8HJ ",Saturday from 12pm to 3pm.
,The Mosaic Community Trust,NW8 8D.,"The Portman Early Years Centre, 12 -15 Salisbury Street, NW8 8D.",Mondays from 10:30am to 1:30pm.
,Queen's Park Bangladesh Association,W10 4QH.,"71 Ilbert St, London W10 4QH.",Thursdays from 6pm and Sundays from 1pm.
,Kulan Somali Organisation,W10 4QA.,"Queen’s Park community hall, Droop Street, W10 4QA.",Thursdays.
,Community For All (C4A) CIC,W9 3RU.,"472 Harrow Road, W9 3RU.",Thursdays from 6pm to 9pm.
,Queen's Park Club,W10 4QJ.,"The Hut, Queen's Park Garden, London, W10 4QJ.","Queen's Park Club provides hot meals on weekdays, weekends and evenings"
,Sunahs Crisis Team CIC,W10 4QA.,"Queens Park Court Community Hall, Droop Street, W10 4QA.",
,Marylebone Bangladesh Society,NW8 8ER.,"19 Samford St, London NW8 8ER.",Mondays from 5 to 8pm and Fridays 5 to 8pm
,Make it Happen,NW8 8SU.,"4 Lilestone St, London NW8 8SU.",Thursdays from 10am to 3pm.
,London Tigers,W9 3AZ,"WECH Community Centre, Selbourne House, 36A Elgin Avenue,",Wednesdays from 10am to 1pm.
,Grand Junction,W2 5TF,"Rowington Cl, London W2 5TF",
,Queen's Park Library,W10 4NE,"666 Harrow Rd, London W10 4NE",open Monday to Saturday 
,Queen's Park Children's Centre,W9 3AL,"88 Bravington Rd, London W9 3AL",
,Maida Vale Library,W9 2QT,"Maida Vale Library, Sutherland Avenue, London W9 2QT",open Monday to Saturday
,North Paddington Youth Club,W9 1EA,"229 Lanark Road, W9 1EA",
,Happy Lizzy Event Planning (HELP),W9 3EW,"Lydford Community Hall, 74 Fernhead Road, W9 3EW",Activities take place on Fridays after school between 3.30pm and 6.30pm.
,Maida Hill Place,W9 3AZ,"Wech Community Hall, Selbourne House, 36A Elgin Avenue London, W9 3AZ","Monday lunchtimes, midday to 2.00 pm Weekends, Sunday 14 January, 1pm to 3pm, Sunday 28 January, 1pm to 3pm (TBC), Sunday 12 February, 1pm to 3pm, Sunday 26 February, 1pm to 3pm (TBC), Sunday 12 March, 1pm to 3pm, Sunday 26 March, 1pm to 3pm, They are also running a soup stall on Tuesdays at Maida Hill Market from 2pm to 3pm."
Wandsworth,Ascension Church Hall,SW12 8QY,"23 Malwood Road, London, SW12 8QY","Monday to Friday, 8.30am to 4.30pm"
,St Luke's Church,SW12 8RQ,"Ramsden Road, London, SW12 8RQ",Wednesday 10.30am to 1.30pm
,St Marks Church Hall,SW17 7AP,"Rowfant Road, London, SW17 7AP",Monday 11am to 2pm
,St Mary and St John the Divine,SW12 9BS,"Balham High Road, London, SW12 9BS","Wednesday 10am to 12 noon, Saturday 10am to 12 noon"
,Church of the Ascension,SW11 5RB,"Lavender Hill, London SW11 5RB",Wednesday 1.30 to 4pm
,Cromwell House,SW11 5HW,"Charlotte Despard Avenue, London, SW11 5HW","Council-run Enable Leisure and Culture - Monday, Wednesday and Friday 4 to 7pm  Cromwell House Community Hub – Monday, Wednesday, Saturday and Sunday 4 to 7pm, Begin2Sports Group Academy C.I.C – Thursday 12 noon to 3.15pm, Agoe Empowerment Network Ltd - Friday 11am to 1pm"
,Devas Club,SW11 5EN,"2A Stormont Road, London, SW11 5EN","Monday to Friday, 4 to 6pm (8 to 11 year olds), Monday to Friday, 6 to 9pm (11 to 19 year olds)"
,Kambala Community Centre,SW11 2LU,"126 Fawcett Close, London, SW11 2LU",TBA - opening 4 January 2023
,S.T.O.R.M Family Centre,SW11 5JF,"61 Strasburg Road, London, SW11 5JF ","Wednesday 1 to 5pm, Thursday 1 to 5pm, Saturday 11am to 3pm"
,York Gardens Children's Centre,SW11 2UG,"Lavender Road, Clapham Junction, London, SW11 2UG ","Monday to Friday, 9am to 4pm"
,York Gardens Library and Community Centre,SW11 2UG,"34 Lavender Road, London, SW11 2UG ",Thursday 10.30am to 12.30pm
,Earlsfield Baptist Church,SW18 3NZ," 271 Magdalen Road, London, SW18 3NZ",Sunday 1 to 4pm
,Home Community Cafe,SW18 4SR,"St Andrew's Church, Garratt Lane, London, SW18 4SR","Tuesday 9am to 4pm, Wednesday 10.30am to 4pm"
,ROSE Community Clubroom,SW8 4AN,"22 Ascalon Street, London, SW8 4AN",Monday 10am to 8pm
,Yvonne Carr Children's Centre,SW8 4HT,"2 Thessaly Road, Nine Elms, London, SW8 4HT","Monday to Friday, 9am to 4.30pm"
,Eastwood Children's Centre,SW15 4HR,"166 Roehampton Lane, Roehampton, London, SW15 4HR","Monday to Friday, 9am to 4.30pm"
,Ackroydon Community Hall ,SW19 6QL,"Montfort Place, London, SW19 6QL",Monday 1 to 3pm
,Brathway Hall,SW18 4BE,"Brathway Road, London, SW18 4BE",Tuesday 10am to 3pm
,Open Door Community Centre,SW19 6TF,"Beaumont Road, London, SW19 6TF",Tuesday and Thursday 4 to 7pm
,St Michael's & All Angels Church,SW18 5TT,"71 Wimbledon Park Road, London, SW18 5TT",Wednesday 12 noon to 2pm
,All Saints Church Centre,SW17 8DQ,"80 Franciscan Road, SW17 8DQ","Tuesday, 10am to 12 noon, Thursday, 10am to 12 noon"
,Franciscan Children's Centre,SW17 8HQ,"221 Franciscan Road, Tooting, London, SW17 8HQ","Monday to Friday, 9am to 4.30pm"
,Holy Trinity Church,SW17 7RH,"74 Trinity Road, London, SW17 7RH","Monday 2 to 4pm (Homeless Support Cafe), Wednesday 12 noon to 4pm (opening 7 December 2022)"
,Smallwood Children's Centre,SW17 0TW,"Smallwood Primary School, Smallwood Road, London, SW17 0TW ","Monday to Friday, 9am to 4.30pm"
,St Albans Church Hall,SW16 6RR,"Pretoria Road, London, SW16 6RR",Wednesday 10.30am to 12 noon
,St Augustine's Church,SW17 0EF,"16 Broadwater Road, London, SW17 0EF",Thursday 12 noon to 4pm
,The Furzedown Project,SW16 6SJ,"91-93 Moyser Road, London, SW16 6SJ","Wednesday 1 to 4pm, Monday 11am to 1pm, Wednesday 11.30am to 1.30pm, Friday 2 to 4pm, Saturday 1 to 4pm"
,Tooting Community Kitchen,SW17 9PP,"19 Church Lane, London, SW17 9PP",Wednesday 1 to 4pm
,East Hill Baptist Church,SW18 2HD,"182 East Hill, London, SW18 2HD","Tuesday: 10am to 2pm, Wednesday: 10am to 1pm"
,Gwynneth Morgan Day Centre,SW18 2HJ,"52 East Hill, London, SW18 2HJ","Monday to Friday, 9.15 to 10.15am (From Monday 27 February)"
,West Hill in the Park Children's Centre,SW18 4AS,"King George's Park, Buckhold Road, Wandsworth, SW18 4AS","Monday to Friday, 9am to 4pm"
Waltham Forest,Leyton Orient Trust,E10 5NF,"Leyton Orient Stadium, Brisbane Road, Leyton, E10 5NF",
,Lea Bridge Library,E10 7HU,"Lea Bridge Road, Leyton E10 7HU","Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 10am to 4pm."
,Pepper's Ghost,E10 5AB,"777 High Road, Leyton E10 5AB",Thursdays and Fridays 12pm to 6pm. 
,Cornerstone,E11 1BL,"149 Canterbury Road, E11 1BL",Everyday
,St Andrew's Church,E11 1JD,"153 Colworth Road, E11 1JD",Mondays and Thursdays 11am to 8pm.
,Holy Trinity and St Augustine of Hippo Church,E11 4LD,"4 Holloway Road, Leytonstone, E11 4LD",Tuesdays 11am to 1pm. 
,Leytonstone and Wanstead Synagogue,E11 3BS,"2 Fillebrook Road, E11 3BS",Friday from 10am to 1pm
,The Inconvenient Store,E11 4RD,"719 High Road Leytonstone, E11 4RD   ",Tuesdays to Saturdays 11am to 8pm and Sundays 12pm to 6pm. 
,Leytonstone Library,E11 1HG,"Church Lane, E11 1HG","Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 12pm to 4pm."
,Farm Community Kitchen,E11 3NH,"102 Cann Hall Road, E11 3NH",
,Elim Pentecostal Church,E11 1EL,"Hainault Road, E11 1EL",
,St Peter in the Forest,E17 3PP,"18 Woodford New Road, E17 3PP          ",
,William Morris Big Local at Priory Court Community Centre,E17 5NB,"11 Priory Court, E17 5NB",Mondays and Thursdays 12pm to 6pm.
,The Mill at Coppermill,E17 7HA,"7 Coppermill Lane, E17 7HA",Tuesday to Friday from 9:30am to 5:30pm. Saturday and Sunday from 10am to 2pm.
,St Barnabus and Stafford Hall,E17 8JY,"St Barnabus Road, E17 8JY",Thursdays 3pm to 6:30pm.
,The Gleaners,E17 9AH,"The Hornbeam Centre, 458 Hoe Street, E17 9AH",
,The Lloyd Park Children’s Charity,E17 5JW,"The Lloyd Park Centre, Winns Avenue Entrance, Lloyd Park, E17 5JW",Fridays 10am to 2pm (school term only).
,Christian Kitchen,E17 7AB,"Mission Grove Car Park, E17 7AB",daily between 7:30pm and 9pm
,Wood Street Library,E17 3HB,"1 Troubridge Square, Wood Street, E17 3HB","Monday to Friday: 9am to 7pm, Saturday: 9am to 6pm and Sunday: 12pm to 4pm."
,Walthamstow Library,E17 7JN,"High Street, Walthamstow, E17 7JN","Monday to Friday: 9am to 7pm, Saturday: 9am to 6pm and Sunday: 10am to 4pm."
,Higham Hill Library,E17 5HS,"North Countess Road, Walthamstow, E17 5HS","Monday, Thursday and Friday: 10am to 6pm. "
,Food Cycle,E17 9RH,"St Mary's Welcome Centre, Church End, E17 9RH",Thursdays 6:30 to 8pm. 
,Peabody,E4 8YD,"The Paradox Community Centre, 3 Ching Way, E4 8YD",Wellbeing Cafe Tuesdays 12:30pm to 2:30pm and Community Pantry Tuesday 8:30am to 2pm.
,Highams Park Food Aid,E4 9QZ,"All Saints Church, Church Avenue, Highams Park, E4 9QZ","open Tuesday, Wednesday and Thursday at All Saints Church"
,Chingford Library,E4 7EN,"The Green, Chingford, E4 7EN"," Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 12pm to 4pm."
,Hale End Library,E4 9QD,"Castle Avenue, Highams Park, E4 9QD","Tuesday, Wednesday and Friday 10am to 6pm. Saturday 10am to 4pm. "
,South Chingford Community Library,E4 8LP,"265 Chingford Mount Road, E4 8LP","Monday, Tuesday, Thursday and Saturday 10am to 4pm."
,Organic Lea,E4 7UH,"Hawkwood Nursery, 115 Hawkwood Crescent, E4 7UH",
Tower Hamlets,Wigram House Community Centre,E14 0DA,"Wigram House Community Centre, Wades Place, E14 0DA",Monday 12noon to 5pm
,Keddlestone Walk Community Centre,E2 9QT,"Keddlestone Walk Community Centre, Hollybush Gardens, E2 9QT",Tuesday 10am to 1pm
,Saltwell Street Community Centre,E14 0DZ,"Saltwell Street Community Centre, Saltwell Street, E14 0DZ",Wednesday 2 to 7pm
,Glasshouse Community Centre,E2 9QB,"Glasshouse Community Centre, 161 Old Ford Road, E2 9QB",Thursday 10am to 12noon
,Wynn Garrett Resource Centre Harpley Square,E1 4EA,"Wynn Garrett Resource Centre Harpley Square, E1 4EA",Thursday 10am to 1pm
,Cranbrook Community Centre,E2 0RB,"Cranbrook Community Centre Mace Street, E2 0RB",Thursday 1 to 4pm
,Guild Room,E14 6JG,"Guild Room, Canton Street, E14 6JG",Thursday 2 to 7pm
,Tarling East Community Centre,E1 2PA,"Tarling East Community Centre, 63 Martha Street, E1 2PA",Thursday 11.30am to 3pm
,St Matthias Community Centre,E14 0EY,"St Matthias Community Centre, Woodstock Terrace, E14 0EY",Sunday 2 to 7pm
Sutton,Civic Offices,SM1 1EA,"St Nicholas Way, Sutton, SM1 1EA",9am to 5pm Monday to Friday.
Southwark,Blackfriars Settlement,SE1 0RB,"1 Rushworth Street, SE1 0RB","Monday: 2pm to 5pm Warm Hub (visitors can read, use the internet, talk, and have tea and coffee). Older men can also join Franks Club at the same time. Tuesday: 9.30am to 2pm Warm Hub (visitors can read, use the internet, talk, and have tea and coffee). 2pm to 4pm Forget-Me-Nots for older people who want to maintain their memory. Wednesday: 9.30am to 1pm Warm Hub (visitors can read, use the internet, talk, and have tea and coffee). 1.30pm to 3.30pm (older people are welcome to join in with arts and crafts social activities). Thursday: 9.30am to 4pm (any older person is welcome to join in with positive ageing activities. Friday: 9.30am to 4pm (any older person with vision impairment is welcome to join in with our regular Crusoe Club activities, with a two-course lunch for £6)."
,Time and Talents,SE16 7NB,"T&T, Surrey Quays Shopping Centre, Redriff Road, SE16 7NB",Monday: 10.30am to 12.30pm Wednesday: 1pm to 3pm
,Age UK Yalding Road,SE16 3TY,"Healthy Living and Learning Service, 95 Southwark Park Road, Bermondsey SE16 3TY",Monday to Friday: 9am to 5pm
,Love North Southwark,SE16 2EN,"4-5 Gataker House Slippers Place, Bermondsey SE16 2EN","Open Monday, Tuesday, Wednesday and Friday."
,London Senior Social,SE1 1QQ,"11 Scovell Road, SE1 1QQ",Open Saturday 11.30am to 4.30pm.
,St Jude's,SE1 6EZ,"St Jude's Centre, Colnbrook Street, SE1 6EZ",Open Monday to Thursday. Monday: Coffee mornings 10am to 12 noon / Board games 1.30pm to 3.30pm. Tuesday: Coffee mornings 10am to 12 noon / Senior Citizen session 2pm to 4pm. Wednesday: Coffee mornings and storytelling 10am to 12 noon. Thursday: Soup Kitchen 12.30pm to 2.30pm 
,Blue Anchor Library,SE16 3UQ,"Market Place, SE16 3UQ",Weekly tea/coffee sessions: Tuesday 11am. Library opening times: Monday: 9am to 7pm. Tuesday: 9am to 7pm. Wednesday: closed. Thursday: 9am to 7pm. Friday: 10am to 6pm. Saturday: 9am to 5pm. Sunday: closed
,Canada Water Library,SE16 7AR,"21 Surrey Quays Rd, SE16 7AR",Weekly tea/coffee sessions: Thursday 11.30am. Library opening times: Monday: 8am to 8pm. Tuesday: 8am to 8pm. Wednesday: 8am to 8pm. Thursday: 8am to 8pm. Friday: 8am to 8pm. Saturday: 9am to 5pm. Sunday: 12noon to 4pm
,John Harvard Library,SE1 1JA,"211 Borough High St, SE1 1JA","Weekly tea/coffee sessions: Tuesday 11am. Monthly archivist talks 2pm on: 8 November, 13 December, 17 January, 21 February, 21 March. Library opening times: Monday: 9am to 7pm. Tuesday: 9am to 7pm. Wednesday: 9am to 7pm. Thursday: 9am to 7pm. Friday: 9am to 7pm. Saturday: 9am to 5pm"
,Tate Modern,SE1 9TG,"Tate Modern Bankside, SE1 9TG","Open 10am to 6pm, 7 days a week"
